OBJECTID,AspenRank,ACRES,Comment,Shape_STAr,Shape_STLe
"4741",S1,2.1820984,Vegetation,95051.82128910000,1828.13978465000
"4742",S1,0.2272307,Vegetation,9898.12792969000,421.32467135000
"4743",S1,0.0667390,Vegetation,2907.13867188000,277.96594175000
"4744",S1,16.0778454,Vegetation,700348.13183600002,11729.00299110000
"4745",S1,1.1825205,Vegetation,51510.38574220000,1415.39571878000
"4746",S1,0.1376613,Vegetation,5996.50488281000,330.08793511500
"4747",S1,3.1259133,Vegetation,136164.24804700000,2762.85003866000
"4748",S1,0.6317927,Vegetation,27520.77832030000,877.95614484000
"4749",S1,0.0118486,Vegetation,516.12402343800,113.69325918100
"4750",S1,2.0162564,Vegetation,87827.77832030000,1769.69589355000
"4751",S1,0.0118542,Vegetation,516.36523437500,112.64787517400
"4752",S1,1.6099509,Vegetation,70129.18066410000,1209.06448447000
"4753",S1,0.3567851,Vegetation,15541.49121090000,493.17620091100
"4754",S1,0.0356956,Vegetation,1554.89355469000,217.00342465000
"4755",S1,4.9321165,Vegetation,214842.13964800001,2983.00914912000
"4756",S1,0.0667870,Vegetation,2909.23144531000,226.72061378500
"4757",S1,0.1936718,Vegetation,8437.96777344000,667.86159876900
"4758",S1,0.1587108,Vegetation,6913.41503906000,340.59510308800
"4759",S1,1.3993058,Vegetation,60953.51855470000,1681.77430054000
"4760",S1,0.3902244,Vegetation,16998.10742190000,699.30794263600
"4761",S1,0.0389278,Vegetation,1695.68847656000,200.95307006200
"4762",S1,0.1864325,Vegetation,8123.95800781000,357.24002903700
"4763",S1,0.0079200,Vegetation,344.99218750000,184.15467479900
"4764",S1,0.9939929,Vegetation,43298.15722660000,909.48610400800
"4765",S1,0.0310967,Vegetation,1354.56738281000,231.06478104700
"4766",S1,0.0726345,Vegetation,3163.94824219000,273.07834509800
"4767",S1,0.9107724,Vegetation,39676.16308590000,1232.60565166000
"4768",S1,0.0036559,Vegetation,159.25097656300,80.68576291860
"4769",S1,1.6335111,Vegetation,71155.45800780000,2070.13773778000
"4770",S1,0.1304910,Vegetation,5684.16406250000,305.62754363700
"4771",S1,0.0091133,Vegetation,396.97265625000,264.07231494300
"4772",S1,1.9802589,Vegetation,86261.77441410000,1397.28759635000
"4773",S1,2.2406141,Vegetation,97601.79394530000,3203.79687780000
"4774",S1,0.1830376,Vegetation,7973.08593750000,388.08111061300
"4775",S1,0.0279049,Vegetation,1215.53515625000,159.21825229400
"4776",S1,26.4441180,Vegetation,1151903.05762000009,14410.36328060000
"4777",S1,0.0462377,Vegetation,2014.10742188000,226.18042615300
"4778",S1,0.0451103,Vegetation,1964.99609375000,322.13820215400
"4779",S1,1.8027378,Vegetation,78526.94433590000,1407.40229794000
"4780",S1,0.9725334,Vegetation,42367.35351560000,1224.82668929000
"4781",S1,3.3860724,Vegetation,147496.72363299999,3084.39952297000
"4782",S1,1.6362951,Vegetation,71276.72753910000,1584.80909988000
"4783",S1,0.0826809,Vegetation,3604.11621094000,266.83542540900
"4784",S1,0.6098833,Vegetation,26568.54492190000,794.23979214100
"4785",S1,2.2727068,Vegetation,98998.70996090000,2054.53084408000
"4786",S1,1.7620679,Vegetation,76759.33496090000,2124.60606406000
"4787",S1,1.8898235,Vegetation,82320.38281250000,1934.62596106000
"4788",S1,0.1429740,Vegetation,6227.92089844000,381.96896859800
"4789",S1,0.0470826,Vegetation,2050.91015625000,272.96556484900
"4790",S1,2.1587191,Vegetation,94033.42675780000,2377.20533758000
"4791",S1,0.0013892,Vegetation,60.51367187500,38.84607792200
"4792",S1,2.4794955,Vegetation,108006.38964800000,1857.03780474000
"4793",S1,7.4850900,Vegetation,326050.19921900000,5602.33654116000
"4794",S1,0.1219536,Vegetation,5313.67089844000,339.00817598100
"4795",S1,0.6876193,Vegetation,29952.57421880000,776.57362660000
"4796",S1,0.0181977,Vegetation,792.68847656300,130.01628771200
"4797",S1,0.4082288,Vegetation,17782.37695310000,536.15095289200
"4798",S1,4.7335940,Vegetation,206194.52929700000,3307.19207074000
"4799",S1,2.3536652,Vegetation,102525.24609400000,2073.82555497000
"4800",S1,0.1275873,Vegetation,5563.11718750000,735.41834649100
"4801",S1,2.4155767,Vegetation,105222.10839800000,2773.89635199000
"4802",S1,0.0297381,Vegetation,1295.38671875000,198.76041378800
"4803",S1,2.0872385,Vegetation,90919.74414060000,1885.85563212000
"4804",S1,0.1205075,Vegetation,5249.28613281000,507.24307739100
"4805",S1,3.2028388,Vegetation,139515.09960900000,2914.16903561000
